Game ID                        Full Title                                                 
------------------------------ -----------------------------------------------------------
scumm:atlantis                 Indiana Jones and the Fate of Atlantis
scumm:indy3                    Indiana Jones and the Last Crusade
scumm:loom                     Loom
scumm:maniac                   Maniac Mansion
scumm:monkey                   The Secret of Monkey Island
scumm:monkey2                  Monkey Island 2: LeChuck's Revenge
scumm:pass                     Passport to Adventure
scumm:samnmax                  Sam & Max Hit the Road
scumm:tentacle                 Day of the Tentacle
scumm:zak                      Zak McKracken and the Alien Mindbenders
scumm:indyloom                 Indiana Jones and the Last Crusade & Loom
scumm:indyzak                  Indiana Jones and the Last Crusade & Zak McKracken
scumm:zakloom                  Zak McKracken & Loom
scumm:ft                       Full Throttle
scumm:dig                      The Dig
scumm:comi                     The Curse of Monkey Island
scumm:activity                 Putt-Putt & Fatty Bear's Activity Pack
scumm:brstorm                  Bear Stormin'
scumm:fbear                    Fatty Bear's Birthday Surprise
scumm:fbpack                   Fatty Bear's Fun Pack
scumm:funpack                  Putt-Putt's Fun Pack
scumm:puttmoon                 Putt-Putt Goes to the Moon
scumm:puttputt                 Putt-Putt Joins the Parade
scumm:arttime                  Blue's Art Time Activities
scumm:baseball2001             Backyard Baseball 2001
scumm:Baseball2003             Backyard Baseball 2003
scumm:basketball               Backyard Basketball
scumm:football2002             Backyard Football 2002
scumm:freddicove               Freddi Fish 5: The Case of the Creature of Coral Cove
scumm:moonbase                 Moonbase Commander
scumm:pjgames                  Pajama Sam: Games to Play on Any Day
scumm:readtime                 Blue's Reading Time Activities
scumm:Soccer2004               Backyard Soccer 2004
scumm:SoccerMLS                Backyard Soccer MLS Edition
scumm:spyozon                  SPY Fox 3: Operation Ozone
scumm:airport                  Let's Explore the Airport with Buzzy
scumm:balloon                  Putt-Putt and Pep's Balloon-O-Rama
scumm:baseball                 Backyard Baseball
scumm:Blues123Time             Blue's 123 Time Activities
scumm:BluesABCTime             Blue's ABC Time Activities
scumm:BluesBirthday            Blue's Birthday Adventure
scumm:BluesTreasureHunt        Blue's Treasure Hunt
scumm:catalog                  Humongous Interactive Catalog
scumm:chase                    SPY Fox in Cheese Chase
scumm:dog                      Putt-Putt and Pep's Dog on a Stick
scumm:farm                     Let's Explore the Farm with Buzzy
scumm:football                 Backyard Football
scumm:freddi                   Freddi Fish 1: The Case of the Missing Kelp Seeds
scumm:freddi2                  Freddi Fish 2: The Case of the Haunted Schoolhouse
scumm:freddi3                  Freddi Fish 3: The Case of the Stolen Conch Shell
scumm:freddi4                  Freddi Fish 4: The Case of the Hogfish Rustlers of Briny Gulch
scumm:FreddisFunShop           Freddi Fish's One-Stop Fun Shop
scumm:jungle                   Let's Explore the Jungle with Buzzy
scumm:lost                     Pajama Sam's Lost & Found
scumm:maze                     Freddi Fish and Luther's Maze Madness
scumm:mustard                  SPY Fox in Hold the Mustard
scumm:pajama                   Pajama Sam 1: No Need to Hide When It's Dark Outside
scumm:pajama2                  Pajama Sam 2: Thunder and Lightning Aren't so Frightening
scumm:pajama3                  Pajama Sam 3: You Are What You Eat From Your Head to Your Feet
scumm:puttcircus               Putt-Putt Joins the Circus
scumm:puttrace                 Putt-Putt Enters the Race
scumm:PuttsFunShop             Putt-Putt's One-Stop Fun Shop
scumm:putttime                 Putt-Putt Travels Through Time
scumm:puttzoo                  Putt-Putt Saves the Zoo
scumm:SamsFunShop              Pajama Sam's One-Stop Fun Shop
scumm:soccer                   Backyard Soccer
scumm:socks                    Pajama Sam's Sock Works
scumm:spyfox                   SPY Fox 1: Dry Cereal
scumm:spyfox2                  SPY Fox 2: Some Assembly Required
scumm:thinker1                 Big Thinkers First Grade
scumm:thinkerk                 Big Thinkers Kindergarten
scumm:water                    Freddi Fish and Luther's Water Worries
access:amazon                  Amazon: Guardians of Eden
access:martian                 Martian Memorandum
adl:hires0                     Hi-Res Adventure #0: Mission Asteroid
adl:hires1                     Hi-Res Adventure #1: Mystery House
adl:hires2                     Hi-Res Adventure #2: Wizard and the Princess
adl:hires3                     Hi-Res Adventure #3: Cranston Manor
adl:hires4                     Hi-Res Adventure #4: Ulysses and the Golden Fleece
adl:hires5                     Hi-Res Adventure #5: Time Zone
adl:hires6                     Hi-Res Adventure #6: The Dark Crystal
agi:agi                        Sierra AGI game
agi:agi-fanmade                Fanmade AGI game
agi:agidemo                    AGI Demo
agi:bc                         The Black Cauldron
agi:caitlyn                    Caitlyn's Destiny
agi:ddp                        Donald Duck's Playground
agi:goldrush                   Gold Rush!
agi:kq1                        King's Quest I: Quest for the Crown
agi:kq2                        King's Quest II: Romancing the Throne
agi:kq3                        King's Quest III: To Heir Is Human
agi:kq4                        King's Quest IV: The Perils of Rosella
agi:lsl1                       Leisure Suit Larry in the Land of the Lounge Lizards
agi:mickey                     Mickey's Space Adventure
agi:mixedup                    Mixed-Up Mother Goose
agi:mh1                        Manhunter 1: New York
agi:mh2                        Manhunter 2: San Francisco
agi:pq1                        Police Quest I: In Pursuit of the Death Angel
agi:serguei1                   Serguei's Destiny 1
agi:serguei2                   Serguei's Destiny 2
agi:sq0                        Space Quest 0: Replicated
agi:sq1                        Space Quest I: The Sarien Encounter
agi:sq2                        Space Quest II: Vohaul's Revenge
agi:sqx                        Space Quest X: The Lost Chapter
agi:tetris                     AGI Tetris
agi:troll                      Troll's Tale
agi:winnie                     Winnie the Pooh in the Hundred Acre Wood
agi:xmascard                   Xmas Card
agos:pn                        Personal Nightmare
agos:elvira1                   Elvira - Mistress of the Dark
agos:elvira2                   Elvira II - The Jaws of Cerberus
agos:waxworks                  Waxworks
agos:simon1                    Simon the Sorcerer 1
agos:simon2                    Simon the Sorcerer 2
agos:feeble                    The Feeble Files
agos:dimp                      Demon in my Pocket
agos:jumble                    Jumble
agos:puzzle                    NoPatience
agos:swampy                    Swampy Adventures
bbvs:bbvs                      Beavis and Butt-head in Virtual Stupidity
bladerunner:bladerunner        Blade Runner
bladerunner:bladerunner-final  Blade Runner with restored content
cge:soltys                     Soltys
cge2:sfinx                     Sfinx
cine:fw                        Future Wars
cine:os                        Operation Stealth
composer:babayaga              Magic Tales: Baba Yaga and the Magic Geese
composer:darby                 Darby the Dragon
composer:gregory               Gregory and the Hot Air Balloon
composer:imoking               Magic Tales: Imo and the King
composer:liam                  Magic Tales: Liam Finds a Story
composer:littlesamurai         Magic Tales: The Little Samurai
composer:princess              Magic Tales: The Princess and the Crab
composer:sleepingcub           Magic Tales: Sleeping Cub's Test of Courage
cruise:cruise                  Cruise for a Corpse
cryomni3d:versailles           Versailles 1685
draci:draci                    Draci Historie
drascula:drascula              Drascula: The Vampire Strikes Back
dreamweb:dreamweb              DreamWeb
fullpipe:fullpipe              Full Pipe
gnap:gnap                      Gnap
gob:gob1                       Gobliiins
gob:gob1cd                     Gobliiins CD
gob:gob2                       Gobliins 2
gob:gob2cd                     Gobliins 2 CD
gob:ween                       Ween: The Prophecy
gob:bargon                     Bargon Attack
gob:babayaga                   Once Upon A Time: Baba Yaga
gob:abracadabra                Once Upon A Time: Abracadabra
gob:littlered                  Once Upon A Time: Little Red Riding Hood
gob:onceupon                   Once Upon A Time
gob:ajworld                    A.J.'s World of Discovery
gob:gob3                       Goblins Quest 3
gob:gob3cd                     Goblins Quest 3 CD
gob:crousti                    Croustibat
gob:lit1                       Lost in Time Part 1
gob:lit2                       Lost in Time Part 2
gob:lit                        Lost in Time
gob:inca2                      Inca II: Wiracocha
gob:woodruff                   The Bizarre Adventures of Woodruff and the Schnibble
gob:dynasty                    The Last Dynasty
gob:urban                      Urban Runner
gob:playtoons1                 Playtoons 1 - Uncle Archibald
gob:playtoons2                 Playtoons 2 - The Case of the Counterfeit Collaborator
gob:playtoons3                 Playtoons 3 - The Secret of the Castle
gob:playtoons4                 Playtoons 4 - The Mandarine Prince
gob:playtoons5                 Playtoons 5 - The Stone of Wakan
gob:playtnck1                  Playtoons Construction Kit 1 - Monsters
gob:playtnck2                  Playtoons Construction Kit 2 - Knights
gob:playtnck3                  Playtoons Construction Kit 3 - Far West
gob:bambou                     Playtoons Limited Edition - Bambou le sauveur de la jungle
gob:fascination                Fascination
gob:geisha                     Geisha
gob:adi2                       ADI 2
gob:adi4                       ADI 4
gob:adibou2                    Adibou 2
gob:adibou1                    Adibou 1
groovie:t7g                    The 7th Guest
hdb:hdb                        Hyperspace Delivery Boy!
hopkins:hopkins                Hopkins FBI
hugo:hugo1                     Hugo 1: Hugo's House of Horrors
hugo:hugo2                     Hugo 2: Whodunit?
hugo:hugo3                     Hugo 3: Jungle of Doom
illusions:bbdou                Beavis and Butt-head Do U
illusions:duckman              Duckman
kyra:kyra1                     The Legend of Kyrandia
kyra:kyra2                     The Legend of Kyrandia: The Hand of Fate
kyra:kyra3                     The Legend of Kyrandia: Malcolm's Revenge
kyra:lol                       Lands of Lore: The Throne of Chaos
kyra:eob                       Eye of the Beholder
kyra:eob2                      Eye of the Beholder II: The Legend of Darkmoon
lab:lab                        Labyrinth of Time
lure:lure                      Lure of the Temptress
made:manhole                   The Manhole
made:rtz                       Return to Zork
made:lgop2                     Leather Goddesses of Phobos 2
made:rodney                    Rodney's Funscreen
mads:dragonsphere              Dragonsphere
mads:nebular                   Rex Nebular and the Cosmic Gender Bender
mads:phantom                   Return of the Phantom
mohawk:myst                    Myst
mohawk:makingofmyst            The Making of Myst
